"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Options","NIFTY","28-Jul-2026","Put","23,700.00","64.40","3.05","4.97","119.90","169.40","57.45","56,57,061","3,835.20","1,27,850","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,800.00","122.65","-43.40","-26.14","80.00","149.50","64.00","52,87,083","3,777.86","1,11,423","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,600.00","39.20","0.70","1.82","84.00","119.45","35.45","46,36,723","2,270.95","1,21,750","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,800.00","102.80","7.85","8.27","163.30","231.20","92.15","42,57,749","3,704.35","1,24,560","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,700.00","182.90","-50.15","-21.52","132.90","213.90","102.00","42,30,604","3,997.79","61,548","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,000.00","44.30","-30.85","-41.05","35.65","62.75","24.00","36,82,197","1,012.42","2,07,372","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,500.00","24.80","0.95","3.98","54.00","81.45","22.30","35,60,576","1,089.38","1,59,245","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,650.00","50.30","1.35","2.76","104.00","142.75","45.25","35,27,879","2,144.76","62,179","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,750.00","81.85","4.80","6.23","132.30","199.00","73.10","34,25,179","2,520.47","59,894","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,900.00","75.85","-38.65","-33.76","57.00","98.45","39.80","33,70,246","1,525.14","90,726","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,750.00","152.10","-46.90","-23.57","90.00","179.80","79.75","28,99,548","2,421.85","27,188","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,850.00","97.60","-41.25","-29.71","71.90","122.00","51.10","24,04,742","1,399.43","55,613","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,650.00","218.50","-53.20","-19.58","162.00","250.00","126.00","20,80,048","2,222.20","17,910","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,100.00","24.15","-22.85","-48.62","21.05","38.65","12.20","19,46,085","314.59","1,57,174","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,400.00","14.90","0.15","1.02","29.95","54.50","14.15","18,60,489","369.93","1,06,545","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,200.00","14.00","-15.45","-52.46","15.95","23.50","10.10","18,43,347","183.32","2,03,857","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,600.00","258.65","-51.90","-16.71","192.70","290.00","152.70","18,39,548","2,345.26","16,091","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,550.00","31.15","0.50","1.63","56.30","98.85","28.05","17,81,595","701.89","43,324","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,000.00","4.40","0.60","15.79","10.00","11.75","4.05","15,44,770","69.68","2,03,409","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,500.00","3.85","-4.10","-51.57","3.70","5.65","3.00","15,05,526","44.82","1,79,756","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,950.00","57.70","-35.40","-38.02","36.00","78.60","31.10","14,89,551","532.61","45,670","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,300.00","9.90","0.40","4.21","17.00","36.25","9.30","13,81,336","176.25","1,19,895","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,600.00","2.55","-2.90","-53.21","2.05","4.20","1.90","12,66,900","25.94","80,862","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,050.00","34.00","-25.65","-43.00","36.25","49.40","19.00","11,85,470","253.82","60,922","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,300.00","7.90","-10.25","-56.47","12.00","14.15","7.00","11,75,867","72.23","1,37,715","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,450.00","18.90","-0.15","-0.79","42.85","66.75","17.45","11,62,846","285.33","41,120","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,700.00","2.10","-2.00","-48.78","2.55","3.35","1.85","11,29,008","18.71","81,750","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,400.00","5.00","-6.60","-56.90","5.00","8.75","5.00","10,92,700","44.39","1,09,035","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,200.00","6.80","0.25","3.82","11.20","24.15","6.60","10,89,296","93.67","93,459","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,850.00","127.70","11.75","10.13","195.00","267.00","114.50","10,88,015","1,131.32","34,522","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,900.00","155.40","15.90","11.40","246.00","305.55","141.00","9,90,589","1,276.50","48,841","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,150.00","18.10","-18.80","-50.95","16.60","30.20","12.10","9,50,712","121.31","64,389","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,000.00","1.30","-1.10","-45.83","1.70","2.20","1.25","9,45,928","10.45","2,31,527","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,800.00","1.70","-1.50","-46.88","1.95","4.20","1.55","9,12,804","13.05","98,296","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,350.00","12.50","0.75","6.38","20.55","44.55","11.40","8,10,717","127.74","44,987","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,250.00","10.05","-13.10","-56.59","14.95","18.25","8.25","8,02,786","62.46","60,689","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,100.00","5.50","0.75","15.79","12.00","16.55","5.00","7,39,782","44.53","52,869","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,650.00","2.40","-2.20","-47.83","3.70","3.75","2.05","7,28,853","12.74","44,034","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,250.00","8.15","0.30","3.82","8.85","29.55","7.80","6,35,978","66.39","36,594","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,350.00","6.00","-8.35","-58.19","9.00","11.00","5.50","6,19,106","30.46","39,432","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,500.00","2.00","0.10","5.26","2.15","3.75","1.75","5,70,654","9.38","1,07,609","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,800.00","3.05","0.60","24.49","3.45","6.75","2.55","5,55,496","15.02","65,697","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","24,000.00","223.75","22.70","11.29","305.00","389.55","205.75","5,39,815","954.18","72,119","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,500.00","345.00","-52.60","-13.23","250.00","376.00","216.00","5,21,453","924.27","14,895","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,150.00","6.10","0.70","12.96","11.15","19.95","5.70","5,14,492","36.85","28,448","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,450.00","4.40","-4.95","-52.94","7.05","9.40","3.65","4,92,119","16.86","31,819","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,700.00","2.55","0.40","18.60","3.85","5.40","2.15","4,75,746","10.67","47,820","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,550.00","3.15","-3.45","-52.27","5.00","5.00","2.85","4,47,323","11.08","31,650","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,750.00","1.85","-1.75","-48.61","2.65","3.15","1.65","4,37,085","6.62","27,611","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,900.00","3.65","0.70","23.73","4.50","8.65","3.20","4,36,529","14.87","42,523","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,500.00","0.65","-0.70","-51.85","1.15","1.55","0.65","4,24,637","2.68","1,17,609","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,050.00","5.35","1.20","28.92","6.55","13.85","4.55","4,17,654","21.99","19,037","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,900.00","1.35","-1.35","-50.00","2.20","2.45","1.30","3,95,335","4.83","53,728","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,600.00","2.00","0.05","2.56","2.90","4.40","1.90","3,46,733","6.54","38,022","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,300.00","0.75","-0.90","-54.55","1.55","1.70","0.70","3,36,549","2.38","94,534","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,950.00","3.60","0.35","10.77","5.05","10.05","3.50","3,22,165","12.42","23,348","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,400.00","1.60","-0.20","-11.11","1.75","3.80","1.35","3,00,291","4.26","24,703","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,200.00","0.85","-0.90","-51.43","1.60","1.80","0.85","2,93,244","2.42","86,763","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","23,550.00","299.85","-53.30","-15.09","210.00","331.50","183.00","2,90,211","431.13","3,501","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,000.00","1.10","-0.15","-12.00","0.95","2.10","0.95","2,68,687","2.60","74,090","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","23,950.00","187.05","18.30","10.84","268.00","345.50","170.65","2,36,663","348.86","20,168","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,750.00","2.75","0.40","17.02","3.90","6.00","2.40","2,31,881","5.80","15,079","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,100.00","1.20","-0.75","-38.46","1.70","2.00","1.05","2,30,970","2.28","50,214","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","26,000.00","0.45","-0.35","-43.75","0.70","1.00","0.45","2,18,989","0.88","80,594","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,850.00","3.10","0.45","16.98","4.05","7.60","2.90","2,12,228","6.43","16,695","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,300.00","1.30","-0.25","-16.13","1.35","4.20","1.25","1,76,562","2.30","22,797","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Put","22,650.00","2.50","0.40","19.05","3.00","4.80","1.70","1,62,701","3.30","11,406","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","25,400.00","0.65","-0.75","-53.57","1.15","1.50","0.65","1,56,774","1.03","55,606","23,767.45"
"Index Options","NIFTY","04-Aug-2026","Call","24,000.00","134.00","-25.80","-16.15","99.15","151.00","90.95","1,38,362","110.14","36,983","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,850.00","1.65","-1.30","-44.07","2.15","2.80","1.45","1,36,681","1.85","20,744","23,767.45"
"Index Options","NIFTY","28-Jul-2026","Call","24,950.00","1.50","-1.05","-41.18","1.70","2.30","1.30","1,31,031","1.60","19,272","23,767.45"
"Index Options","NIFTY","04-Aug-2026","Put","23,000.00","26.50","5.45","25.89","38.95","56.40","25.15","1,27,733","31.92","22,429","23,767.45"
