=== MARKET SUMMARY ===
Underlying,NIFTY
Spot Price,23767.45
Futures Price,23830.0
Futures Premium,62.55
Basis %,0.26%
Expiry,28-Jul-26
Days To Expiry,4
Timestamp,2026-07-25 03:41:10
Risk-Free Rate,5.25%

=== KEY METRICS & EXPECTED MOVE ===
Overall PCR,2.29
ATM Strike,955
Max Pain Strike,22
ATM IV,14.25%
Expected Move,±354.55 pts
Upper Target Boundary,24122.0
Lower Target Boundary,23412.9
Annualized HV,14.85%

=== GREEKS TABLE ===
Strike,CE Delta,CE Gamma,CE Theta,CE Vega,PE Delta,PE Gamma,PE Theta,PE Vega
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
421,1.0,0.0,-0.06,0.0,-0.0,0.0,-0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
526,1.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
158,1.0,0.0,-0.02,0.0,-0.0,0.0,-0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
22,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
