CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,404,-100,110,50.14,"2,695.00",-72.50,520,"2,691.40","2,726.30",65,"21,100.00","13,260",0.60,0.65,"33,865",-0.15,0.60,40.23,"41,521",-661,"40,658",
,2,-,-,-,"2,502.70",-,780,"2,459.25","2,728.50",780,"21,150.00","17,810",0.60,0.65,"2,015",-0.10,0.60,39.51,"10,973",84,"2,041",
,3,-,1,-,"2,521.10",-155.05,780,"2,553.95","2,675.55",780,"21,200.00","18,655",0.60,0.65,"1,235",-0.10,0.60,38.78,"15,638","1,255","11,728",
,1,-,-,-,"2,872.95",-,"1,560","2,421.55","2,622.90",780,"21,250.00","1,625",0.65,0.70,"3,510",-0.15,0.65,38.35,"1,935",26,566,
,31,-,-,106.25,"2,615.00",-,780,"2,461.20","2,569.45",780,"21,300.00","38,610",0.60,0.75,910,-0.10,0.60,37.34,"15,008",991,"12,065",
,-,-,-,-,-,-,780,"2,291.05","2,526.90",780,"21,350.00","37,180",0.60,0.65,"1,040",-0.15,0.65,36.90,"13,102","1,498","2,726",
,-,-,-,-,-,-,"1,690","2,224.20","2,518.45","1,690","21,400.00","2,860",0.65,0.75,"4,745",-,0.75,36.68,"19,128","1,645","5,358",
,-,-,-,-,-,-,"1,690","2,182.65","2,451.10","1,690","21,450.00","1,170",0.70,0.75,"23,010",-0.05,0.75,35.95,"5,972",498,766,
,"5,654",-586,"2,397",59.95,"2,322.80",-55.35,65,"2,314.50","2,325.70",130,"21,500.00","2,275",0.70,0.80,"2,535",-0.10,0.75,35.22,"93,742","5,098","35,045",
,-,-,-,-,-,-,"1,560","2,089.15","2,351.90","1,690","21,550.00",650,0.75,0.90,"1,170",-0.10,0.75,34.48,"2,986",376,647,
,-,-,-,-,-,-,"1,690","2,037.15","2,299.70","1,690","21,600.00",65,0.80,0.90,"2,535",-0.10,0.80,33.97,"37,669",-874,"5,497",
,1,-,-,-,"1,938.20",-,780,"2,049.70","2,226.10",780,"21,650.00","1,820",0.75,0.95,"1,950",-0.25,0.70,32.80,"5,946",296,716,
,-,-,-,62.77,-,-,"1,690","1,947.10","2,192.95","1,690","21,700.00","4,550",0.80,0.90,"1,755",-0.10,0.80,32.50,"33,669",104,"3,857",
,-,-,-,-,-,-,780,"1,932.10","2,158.40",780,"21,750.00",390,0.80,1.10,910,-0.15,0.85,31.96,"4,297",269,759,
,2,-,-,15.68,"2,230.00",-,780,"1,887.10","2,068.15",780,"21,800.00",195,0.90,0.95,"16,640",-0.15,0.95,31.59,"44,778","3,937","19,240",
,1,-,-,-,"2,031.20",-,780,"1,869.35","2,022.95",780,"21,850.00",910,0.75,1.10,650,-0.20,0.85,30.49,"7,394",-195,570,
,8,-,-,52.21,"2,080.00",-,780,"1,846.05","1,966.20",780,"21,900.00",65,0.90,1.05,"2,600",-0.30,0.90,29.93,"32,670",683,"4,349",
,7,5,6,50.85,"1,875.90",-50.05,780,"1,708.40","1,920.85",780,"21,950.00","1,365",0.90,1.25,260,-0.30,0.90,29.19,"19,213",337,722,
,"6,042","-1,885","3,045",46.79,"1,817.55",-61.10,65,"1,817.95","1,825.65",65,"22,000.00","56,290",1.05,1.10,"9,035",-0.15,1.10,29.07,"2,68,687","6,549","74,090",
,1,-,-,76.50,"1,825.05",-,780,"1,630.45","1,843.05",780,"22,050.00",845,0.95,1.20,650,-0.35,0.95,27.87,"23,473",229,"1,297",
,3,1,1,-,"1,586.15",-185.65,780,"1,667.60","1,776.20",780,"22,100.00","7,150",1.00,1.05,"2,925",-0.35,1.05,27.42,"71,124","2,810","11,383",
,24,-,-,61.38,"1,902.90",-,780,"1,541.35","1,714.90",780,"22,150.00",65,1.15,1.45,65,-0.45,0.95,26.38,"26,912",301,"1,088",
,28,-2,7,34.18,"1,600.00",-184.55,780,"1,566.30","1,646.05",65,"22,200.00","33,085",1.20,1.30,"1,755",-0.20,1.20,26.30,"1,11,120","3,589","15,567",
,4,-,-,69.62,"1,620.60",-,780,"1,438.55","1,617.10",65,"22,250.00","18,915",1.20,1.35,"1,300",-0.35,1.20,25.54,"56,335","3,036","4,776",
,6,-2,2,30.19,"1,497.25",-395.75,780,"1,466.80","1,546.95",845,"22,300.00","69,485",1.30,1.40,"1,300",-0.25,1.30,25.01,"1,76,562","6,445","22,797",
,4,-,-,44.15,"1,636.55",-,780,"1,368.60","1,516.15",65,"22,350.00","1,300",1.20,1.90,"1,300",-0.15,1.50,24.66,"77,420","2,932","5,919",
