symbol,name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
RELIANCE,Reliance Industries,1278.00,23.14,1729457.97,0.47,23196.00,2.02,309468.00,27.02,10.26
BHARTIARTL,Bharti Airtel,1898.20,44.49,1184484.53,1.26,9247.40,-16.49,55383.20,15.68,17.56
HDFCBANK,HDFC Bank,742.80,14.48,1144294.01,1.75,20382.69,18.37,90575.33,3.67,7.02
ICICIBANK,ICICI Bank,1432.90,18.33,1028038.57,0.84,16276.22,13.88,52240.85,6.44,7.18
SBIN,SBI,1015.00,11.25,936907.69,1.71,20507.98,0.22,131080.12,3.34,6.13
TCS,TCS,2254.30,15.19,815625.47,2.84,13420.00,8.45,72275.00,13.93,63.03
BAJFINANCE,Bajaj Finance,1012.80,32.80,630564.65,0.53,5553.30,21.99,21605.79,18.10,10.87
LICI,Life Insurance,421.30,9.28,532944.31,2.37,23467.18,23.26,276743.77,13.82,35.14
LT,Larsen & Toubro,3785.60,31.74,520796.04,1.00,6133.06,2.11,82762.16,11.25,14.57
HINDUNILVR,Hind. Unilever,2145.00,33.10,503987.33,1.91,2994.00,8.62,16351.00,7.64,28.42
SUNPHARMA,Sun Pharma.Inds.,1941.10,37.48,465734.91,0.82,2709.66,13.58,14611.79,12.76,20.53
MARUTI,Maruti Suzuki,13442.00,28.79,422619.94,1.04,3659.00,-6.45,52462.50,28.21,19.02
INFY,Infosys,1040.90,13.55,422353.38,4.61,7775.00,12.25,48211.00,14.03,39.95
TITAN,Titan Company,4677.00,80.63,415217.59,0.32,1179.00,31.00,26920.00,80.48,20.54
ADANIPOWER,Adani Power,213.66,28.90,412036.79,0.00,4866.60,41.98,18901.89,33.97,17.22
ADANIENT,Adani Enterp.,3026.40,,409597.36,0.04,-166.79,-121.16,32439.31,20.30,5.80
ADANIPORTS,Adani Ports,1768.30,31.43,407409.09,0.42,3308.30,11.43,10737.56,26.50,14.12
